,Unnamed: 0,img_pair,question,img1,img2,answer,survey,observer,is_redundant,img1_fname,img2_fname,answer_fname,network,dataset
47,47,s41-q995-im165-im223-impicker,995,165,223,223,41,4,False,001202-iternet-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
48,48,s41-q981-im151-im165-impicker,981,151,165,165,41,4,False,001202-unet-chase.png,001202-iternet-chase.png,001202-iternet-chase.png,iternet,chase
49,49,s41-q979-im213-im223-impicker,979,213,223,223,41,4,False,001202-eswanet-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
50,50,s41-q1001-im45-im213-impicker,1001,45,213,213,41,4,False,001202-vgan-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
51,51,s41-q998-im37-im223-impicker,998,37,223,223,41,4,False,001202-iternet_uni-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
52,52,s41-q988-im37-im151-impicker,988,37,151,151,41,4,False,001202-iternet_uni-chase.png,001202-unet-chase.png,001202-unet-chase.png,unet,chase
53,53,s41-q999-im53-im111-impicker,999,53,111,111,41,4,False,001202-saunet-chase.png,001202-laddernet-chase.png,001202-laddernet-chase.png,laddernet,chase
54,54,s41-q1008-im37-im45-impicker,1008,37,45,45,41,4,False,001202-iternet_uni-chase.png,001202-vgan-chase.png,001202-vgan-chase.png,vgan,chase
55,55,s41-q978-im45-im151-impicker,978,45,151,151,41,4,True,001202-vgan-chase.png,001202-unet-chase.png,001202-unet-chase.png,unet,chase
56,56,s41-q970-im151-im223-impicker,970,151,223,223,41,4,False,001202-unet-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
57,57,s41-q967-im165-im213-impicker,967,165,213,213,41,4,False,001202-iternet-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
58,58,s41-q1003-im213-im223-impicker,1003,213,223,223,41,4,True,001202-eswanet-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
59,59,s41-q971-im37-im111-impicker,971,37,111,111,41,4,False,001202-iternet_uni-chase.png,001202-laddernet-chase.png,001202-laddernet-chase.png,laddernet,chase
60,60,s41-q1005-im151-im165-impicker,1005,151,165,165,41,4,True,001202-unet-chase.png,001202-iternet-chase.png,001202-iternet-chase.png,iternet,chase
61,61,s41-q997-im151-im213-impicker,997,151,213,213,41,4,False,001202-unet-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
62,62,s41-q1000-im53-im223-impicker,1000,53,223,223,41,4,False,001202-saunet-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
63,63,s41-q974-im45-im223-impicker,974,45,223,223,41,4,False,001202-vgan-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
64,64,s41-q969-im53-im213-impicker,969,53,213,213,41,4,False,001202-saunet-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
65,65,s41-q1004-im37-im53-impicker,1004,37,53,53,41,4,True,001202-iternet_uni-chase.png,001202-saunet-chase.png,001202-saunet-chase.png,saunet,chase
66,66,s41-q991-im151-im223-impicker,991,151,223,223,41,4,True,001202-unet-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
67,67,s41-q1002-im111-im165-impicker,1002,111,165,165,41,4,False,001202-laddernet-chase.png,001202-iternet-chase.png,001202-iternet-chase.png,iternet,chase
68,68,s41-q990-im53-im151-impicker,990,53,151,151,41,4,False,001202-saunet-chase.png,001202-unet-chase.png,001202-unet-chase.png,unet,chase
69,69,s41-q994-im45-im165-impicker,994,45,165,165,41,4,False,001202-vgan-chase.png,001202-iternet-chase.png,001202-iternet-chase.png,iternet,chase
70,70,s41-q973-im53-im111-impicker,973,53,111,111,41,4,True,001202-saunet-chase.png,001202-laddernet-chase.png,001202-laddernet-chase.png,laddernet,chase
71,71,s41-q993-im111-im223-impicker,993,111,223,223,41,4,False,001202-laddernet-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
72,72,s41-q972-im45-im223-impicker,972,45,223,223,41,4,True,001202-vgan-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
73,73,s41-q984-im111-im213-impicker,984,111,213,213,41,4,True,001202-laddernet-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
74,74,s41-q1007-im37-im165-impicker,1007,37,165,165,41,4,False,001202-iternet_uni-chase.png,001202-iternet-chase.png,001202-iternet-chase.png,iternet,chase
75,75,s41-q996-im111-im165-impicker,996,111,165,165,41,4,True,001202-laddernet-chase.png,001202-iternet-chase.png,001202-iternet-chase.png,iternet,chase
76,76,s41-q987-im53-im165-impicker,987,53,165,165,41,4,False,001202-saunet-chase.png,001202-iternet-chase.png,001202-iternet-chase.png,iternet,chase
77,77,s41-q980-im53-im213-impicker,980,53,213,213,41,4,True,001202-saunet-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
78,78,s41-q976-im53-im223-impicker,976,53,223,223,41,4,True,001202-saunet-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
79,79,s41-q992-im37-im213-impicker,992,37,213,213,41,4,False,001202-iternet_uni-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
80,80,s41-q1006-im37-im213-impicker,1006,37,213,213,41,4,True,001202-iternet_uni-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
81,81,s41-q975-im37-im165-impicker,975,37,165,165,41,4,True,001202-iternet_uni-chase.png,001202-iternet-chase.png,001202-iternet-chase.png,iternet,chase
