survey_id,question_id,image_id,dataset,filename,type,disease_token
2,66,67,DRIVE,000021-median-max-iternet_uni-drive.png,segmap,normal
2,66,16,originals,000021.png,original,normal
2,67,31,DRIVE,000021-median-max-vgan-drive.png,segmap,normal
2,67,41,DRIVE,000021-median-max-unet-drive.png,segmap,normal
2,67,16,originals,000021.png,original,normal
2,68,31,DRIVE,000021-median-max-vgan-drive.png,segmap,normal
2,68,39,DRIVE,000021-median-max-eswanet-drive.png,segmap,normal
2,68,16,originals,000021.png,original,normal
2,69,38,DRIVE,000021-median-max-laddernet-drive.png,segmap,normal
2,69,41,DRIVE,000021-median-max-unet-drive.png,segmap,normal
2,69,16,originals,000021.png,original,normal
2,70,41,DRIVE,000021-median-max-unet-drive.png,segmap,normal
2,70,50,DRIVE,000021-median-max-saunet-drive.png,segmap,normal
2,70,16,originals,000021.png,original,normal
2,71,38,DRIVE,000021-median-max-laddernet-drive.png,segmap,normal
2,71,39,DRIVE,000021-median-max-eswanet-drive.png,segmap,normal
2,71,16,originals,000021.png,original,normal
2,72,31,DRIVE,000021-median-max-vgan-drive.png,segmap,normal
2,72,67,DRIVE,000021-median-max-iternet_uni-drive.png,segmap,normal
2,72,16,originals,000021.png,original,normal
2,73,34,DRIVE,000021-median-max-vesselunet-drive.png,segmap,normal
2,73,50,DRIVE,000021-median-max-saunet-drive.png,segmap,normal
2,73,16,originals,000021.png,original,normal
2,74,34,DRIVE,000021-median-max-vesselunet-drive.png,segmap,normal
2,74,39,DRIVE,000021-median-max-eswanet-drive.png,segmap,normal
2,74,16,originals,000021.png,original,normal
2,75,65,DRIVE,000021-median-max-iternet-drive.png,segmap,normal
2,75,67,DRIVE,000021-median-max-iternet_uni-drive.png,segmap,normal
2,75,16,originals,000021.png,original,normal
2,76,34,DRIVE,000021-median-max-vesselunet-drive.png,segmap,normal
2,76,67,DRIVE,000021-median-max-iternet_uni-drive.png,segmap,normal
2,76,16,originals,000021.png,original,normal
2,77,65,DRIVE,000021-median-max-iternet-drive.png,segmap,normal
2,77,67,DRIVE,000021-median-max-iternet_uni-drive.png,segmap,normal
2,77,16,originals,000021.png,original,normal
2,78,34,DRIVE,000021-median-max-vesselunet-drive.png,segmap,normal
2,78,67,DRIVE,000021-median-max-iternet_uni-drive.png,segmap,normal
2,78,16,originals,000021.png,original,normal
2,79,39,DRIVE,000021-median-max-eswanet-drive.png,segmap,normal
2,79,41,DRIVE,000021-median-max-unet-drive.png,segmap,normal
2,79,16,originals,000021.png,original,normal
2,80,38,DRIVE,000021-median-max-laddernet-drive.png,segmap,normal
2,80,50,DRIVE,000021-median-max-saunet-drive.png,segmap,normal
2,80,16,originals,000021.png,original,normal
2,81,34,DRIVE,000021-median-max-vesselunet-drive.png,segmap,normal
2,81,38,DRIVE,000021-median-max-laddernet-drive.png,segmap,normal
2,81,16,originals,000021.png,original,normal
2,82,31,DRIVE,000021-median-max-vgan-drive.png,segmap,normal
2,82,34,DRIVE,000021-median-max-vesselunet-drive.png,segmap,normal
2,82,16,originals,000021.png,original,normal
2,83,34,DRIVE,000021-median-max-vesselunet-drive.png,segmap,normal
2,83,65,DRIVE,000021-median-max-iternet-drive.png,segmap,normal
2,83,16,originals,000021.png,original,normal
2,84,38,DRIVE,000021-median-max-laddernet-drive.png,segmap,normal
2,84,65,DRIVE,000021-median-max-iternet-drive.png,segmap,normal
2,84,16,originals,000021.png,original,normal
3,85,37,DRIVE,000594-min-vgan-drive.png,segmap,normal
3,85,54,DRIVE,000594-min-iternet_uni-drive.png,segmap,normal
3,85,9,originals,000594.png,original,normal
3,86,37,DRIVE,000594-min-vgan-drive.png,segmap,normal
3,86,52,DRIVE,000594-min-iternet-drive.png,segmap,normal
3,86,9,originals,000594.png,original,normal
3,87,36,DRIVE,000594-min-saunet-drive.png,segmap,normal
3,87,56,DRIVE,000594-min-eswanet-drive.png,segmap,normal
3,87,9,originals,000594.png,original,normal
3,88,29,DRIVE,000594-min-laddernet-drive.png,segmap,normal
3,88,49,DRIVE,000594-min-unet-drive.png,segmap,normal
3,88,9,originals,000594.png,original,normal
3,89,37,DRIVE,000594-min-vgan-drive.png,segmap,normal
3,89,56,DRIVE,000594-min-eswanet-drive.png,segmap,normal
3,89,9,originals,000594.png,original,normal
3,90,37,DRIVE,000594-min-vgan-drive.png,segmap,normal
3,90,49,DRIVE,000594-min-unet-drive.png,segmap,normal
3,90,9,originals,000594.png,original,normal
3,91,29,DRIVE,000594-min-laddernet-drive.png,segmap,normal
3,91,56,DRIVE,000594-min-eswanet-drive.png,segmap,normal
3,91,9,originals,000594.png,original,normal
