,img_pair,question,img1,img2,answer,survey,observer,is_redundant,img1_fname,img2_fname,answer_fname,network,dataset
2810,s15-q614-im136-im142-impicker,614,136,142,142,15,4,False,000007-max-eswanet-chase.png,000007-max-vesselunet-chase.png,000007-max-vesselunet-chase.png,vesselunet,chase
2811,s15-q599-im136-im141-impicker,599,136,141,141,15,4,True,000007-max-eswanet-chase.png,000007-max-unet-chase.png,000007-max-unet-chase.png,unet,chase
2812,s15-q620-im129-im143-impicker,620,129,143,143,15,4,False,000007-max-vgan-chase.png,000007-max-saunet-chase.png,000007-max-saunet-chase.png,saunet,chase
2813,s15-q617-im136-im143-impicker,617,136,143,143,15,4,True,000007-max-eswanet-chase.png,000007-max-saunet-chase.png,000007-max-saunet-chase.png,saunet,chase
2814,s15-q596-im136-im140-impicker,596,136,140,136,15,2,False,000007-max-eswanet-chase.png,000007-max-iternet_uni-chase.png,000007-max-eswanet-chase.png,eswanet,chase
2815,s15-q592-im140-im142-impicker,592,140,142,142,15,2,False,000007-max-iternet_uni-chase.png,000007-max-vesselunet-chase.png,000007-max-vesselunet-chase.png,vesselunet,chase
2816,s15-q600-im120-im142-impicker,600,120,142,142,15,2,False,000007-max-laddernet-chase.png,000007-max-vesselunet-chase.png,000007-max-vesselunet-chase.png,vesselunet,chase
2817,s15-q626-im127-im129-impicker,626,127,129,129,15,2,False,000007-max-iternet-chase.png,000007-max-vgan-chase.png,000007-max-vgan-chase.png,vgan,chase
2818,s15-q629-im129-im142-impicker,629,129,142,142,15,2,False,000007-max-vgan-chase.png,000007-max-vesselunet-chase.png,000007-max-vesselunet-chase.png,vesselunet,chase
2819,s15-q615-im136-im141-impicker,615,136,141,141,15,2,False,000007-max-eswanet-chase.png,000007-max-unet-chase.png,000007-max-unet-chase.png,unet,chase
2820,s15-q605-im129-im141-impicker,605,129,141,129,15,2,False,000007-max-vgan-chase.png,000007-max-unet-chase.png,000007-max-vgan-chase.png,vgan,chase
2821,s15-q590-im140-im143-impicker,590,140,143,143,15,2,False,000007-max-iternet_uni-chase.png,000007-max-saunet-chase.png,000007-max-saunet-chase.png,saunet,chase
2822,s15-q593-im140-im141-impicker,593,140,141,141,15,2,False,000007-max-iternet_uni-chase.png,000007-max-unet-chase.png,000007-max-unet-chase.png,unet,chase
2823,s15-q603-im120-im143-impicker,603,120,143,143,15,2,False,000007-max-laddernet-chase.png,000007-max-saunet-chase.png,000007-max-saunet-chase.png,saunet,chase
2824,s15-q627-im120-im140-impicker,627,120,140,120,15,2,False,000007-max-laddernet-chase.png,000007-max-iternet_uni-chase.png,000007-max-laddernet-chase.png,laddernet,chase
2825,s15-q597-im120-im127-impicker,597,120,127,120,15,2,False,000007-max-laddernet-chase.png,000007-max-iternet-chase.png,000007-max-laddernet-chase.png,laddernet,chase
2826,s15-q594-im120-im143-impicker,594,120,143,120,15,2,True,000007-max-laddernet-chase.png,000007-max-saunet-chase.png,000007-max-laddernet-chase.png,laddernet,chase
2827,s15-q610-im129-im141-impicker,610,129,141,141,15,2,True,000007-max-vgan-chase.png,000007-max-unet-chase.png,000007-max-unet-chase.png,unet,chase
2828,s15-q607-im120-im136-impicker,607,120,136,136,15,2,False,000007-max-laddernet-chase.png,000007-max-eswanet-chase.png,000007-max-eswanet-chase.png,eswanet,chase
